----------------First basketball shooting------------------


Recording id:    173



Recording date:    13-Sep-2019



Recording time:     8:43 PM



Recording location:    University of Wollongong



-------------Data------------
First column: time (s)
Second column: horizontal distance from the centre of the hoop (m)
Third column: vertical position relative to the hoop. (m)
&*#,,0.0000#,##	5.0451&&#	-0.9700&,&*
&*#,,0.0100#,##	4.9823&&#	-0.9145&,&*
&*#,,0.0200#,##	4.9195&&#	-0.8602&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.0300#,##	4.8569&&#	-0.8069&,&*
&*#,,0.0400#,##	4.7945&&#	-0.7547&,&*
&*#,,0.0500#,##	4.7321&&#	-0.7036&,&*
&*#,,0.0600#,##	4.6699&&#	-0.6536&,&*
&*#,,0.0700#,##	4.6079&&#	-0.6047&,&*
&*#,,0.0800#,##	4.5459&&#	-0.5569&,&*
&*#,,0.0900#,##	4.4841&&#	-0.5102&,&*

&*#,,0.1000#,##	4.4224&&#	-0.4645&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.1100#,##	4.3609&&#	-0.4199&,&*
&*#,,0.1200#,##	4.2994&&#	-0.3764&,&*
&*#,,0.1300#,##	4.2381&&#	-0.3339&,&*
&*#,,0.1400#,##	4.1769&&#	-0.2925&,&*
&*#,,0.1500#,##	4.1158&&#	-0.2521&,&*
&*#,,0.1600#,##	4.0548&&#	-0.2129&,&*
&*#,,0.1700#,##	3.9940&&#	-0.1746&,&*
&*#,,0.1800#,##	3.9332&&#	-0.1374&,&*
&*#,,0.1900#,##	3.8726&&#	-0.1013&,&*
&*#,,0.2000#,##	3.8121&&#	-0.0662&,&*
&*#,,0.2100#,##	3.7517&&#	-0.0322&,&*
&*#,,0.2200#,##	3.6914&&#	0.0008&,&*
&*#,,0.2300#,##	3.6312&&#	0.0327&,&*
&*#,,0.2400#,##	3.5711&&#	0.0637&,&*

&*#,,0.2500#,##	3.5111&&#	0.0935&,&*
&*#,,0.2600#,##	3.4512&&#	0.1224&,&*
&*#,,0.2700#,##	3.3914&&#	0.1502&,&*
&*#,,0.2800#,##	3.3318&&#	0.1770&,&*
&*#,,0.2900#,##	3.2722&&#	0.2028&,&*
&*#,,0.3000#,##	3.2127&&#	0.2275&,&*

&*#,,0.3100#,##	3.1534&&#	0.2512&,&*
&*#,,0.3200#,##	3.0941&&#	0.2739&,&*

&*#,,0.3300#,##	3.0349&&#	0.2956&,&*
&*#,,0.3400#,##	2.9758&&#	0.3162&,&*
&*#,,0.3500#,##	2.9169&&#	0.3359&,&*
&*#,,0.3600#,##	2.8580&&#	0.3545&,&*
&*#,,0.3700#,##	2.7992&&#	0.3721&,&*

&*#,,0.3800#,##	2.7405&&#	0.3887&,&*
&*#,,0.3900#,##	2.6819&&#	0.4043&,&*
&*#,,0.4000#,##	2.6234&&#	0.4189&,&*
&*#,,0.4100#,##	2.5650&&#	0.4325&,&*
&*#,,0.4200#,##	2.5066&&#	0.4451&,&*
&*#,,0.4300#,##	2.4484&&#	0.4567&,&*
&*#,,0.4400#,##	2.3902&&#	0.4673&,&*
&*#,,0.4500#,##	2.3322&&#	0.4769&,&*
&*#,,0.4600#,##	2.2742&&#	0.4855&,&*
&*#,,0.4700#,##	2.2163&&#	0.4931&,&*
&*#,,0.4800#,##	2.1585&&#	0.4997&,&*
&*#,,0.4900#,##	2.1008&&#	0.5054&,&*
&*#,,0.5000#,##	2.0432&&#	0.5100&,&*
&*#,,0.5100#,##	1.9857&&#	0.5136&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.5200#,##	1.9282&&#	0.5163&,&*
&*#,,0.5300#,##	1.8709&&#	0.5180&,&*
&*#,,0.5400#,##	1.8136&&#	0.5187&,&*
&*#,,0.5420#,##	1.8020&&#	0.5187&,&*
&*#,,0.5520#,##	1.7448&&#	0.5182&,&*
&*#,,0.5620#,##	1.6877&&#	0.5167&,&*
&*#,,0.5720#,##	1.6307&&#	0.5143&,&*
&*#,,0.5820#,##	1.5738&&#	0.5108&,&*
&*#,,0.5920#,##	1.5170&&#	0.5064&,&*
&*#,,0.6020#,##	1.4602&&#	0.5010&,&*
&*#,,0.6120#,##	1.4036&&#	0.4946&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.6220#,##	1.3470&&#	0.4872&,&*
&*#,,0.6320#,##	1.2905&&#	0.4788&,&*
&*#,,0.6420#,##	1.2341&&#	0.4694&,&*
&*#,,0.6520#,##	1.1778&&#	0.4590&,&*
&*#,,0.6620#,##	1.1215&&#	0.4477&,&*
&*#,,0.6720#,##	1.0653&&#	0.4353&,&*
&*#,,0.6820#,##	1.0093&&#	0.4219&,&*
&*#,,0.6920#,##	0.9533&&#	0.4076&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.7020#,##	0.8974&&#	0.3922&,&*
&*#,,0.7120#,##	0.8415&&#	0.3758&,&*
&*#,,0.7220#,##	0.7858&&#	0.3584&,&*
&*#,,0.7320#,##	0.7301&&#	0.3401&,&*
&*#,,0.7420#,##	0.6746&&#	0.3207&,&*
&*#,,0.7520#,##	0.6191&&#	0.3003&,&*
&*#,,0.7620#,##	0.5637&&#	0.2788&,&*
&*#,,0.7720#,##	0.5084&&#	0.2564&,&*
&*#,,0.7820#,##	0.4531&&#	0.2329&,&*
&*#,,0.7920#,##	0.3980&&#	0.2085&,&*
&*#,,0.8020#,##	0.3429&&#	0.1830&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.8120#,##	0.2880&&#	0.1565&,&*
&*#,,0.8220#,##	0.2331&&#	0.1290&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.8320#,##	0.1783&&#	0.1004&,&*

&*#,,0.8420#,##	0.1236&&#	0.0708&,&*
&*#,,0.8520#,##	0.0690&&#	0.0402&,&*
&*#,,	#,##	&&#	&,&*
&*#,,0.8620#,##	0.0144&&#	0.0086&,&*

&*#,,0.8647#,##	0.0000&&#	0.0000&,&*
__________________________________



----------------Second basketball shooting------------------


Recording id:    174



Recording date:    13-Sep-2019



Recording time:     8:43 PM



Recording location:    University of Wollongong



-------------Data------------
First column: time (s)
Second column: horizontal distance from the centre of the hoop (m)
Third column: vertical position relative to the hoop. (m)
&*#,,0.0000#,##	6.5015&&#	-1.0234&,&*
&*#,,	#,##	&&#	&,&*
